name,description,module,path,canonicalId
"advanced-elicitation","Push the LLM to reconsider refine and improve its recent output. Use when the user asks for advanced elicitation.","core","_abm/core/workflows/advanced-elicitation/workflow.md","bmad-advanced-elicitation"
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_abm/core/workflows/brainstorming/workflow.md","bmad-brainstorming"
"party-mode","Orchestrates group discussions between all installed BMAD agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_abm/core/workflows/party-mode/workflow.md","bmad-party-mode"
"create-product-brief","Create product brief through collaborative discovery. Use when the user says ""lets create a product brief"" or ""help me create a project brief""","bmm","_abm/bmm/workflows/1-analysis/create-product-brief/workflow.md","bmad-create-product-brief"
"domain-research","Conduct domain and industry research. Use when the user says ""lets create a research report on [domain or industry]""","bmm","_abm/bmm/workflows/1-analysis/research/workflow-domain-research.md","bmad-domain-research"
"market-research","Conduct market research on competition and customers. Use when the user says ""create a market research report about [business idea]"".","bmm","_abm/bmm/workflows/1-analysis/research/workflow-market-research.md","bmad-market-research"
"technical-research","Conduct technical research on technologies and architecture. Use when the user says ""create a technical research report on [topic]"".","bmm","_abm/bmm/workflows/1-analysis/research/workflow-technical-research.md","bmad-technical-research"
"create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md","bmad-create-prd"
"edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md","bmad-edit-prd"
"validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_abm/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md","ABM-validate-prd"
"create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_abm/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md","bmad-create-ux-design"
"check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_abm/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md","bmad-check-implementation-readiness"
"create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_abm/bmm/workflows/3-solutioning/create-architecture/workflow.md","bmad-create-architecture"
"create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_abm/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md","bmad-create-epics-and-stories"
"code-review","Perform adversarial code review finding specific issues. Use when the user says ""run code review"" or ""review this code""","bmm","_abm/bmm/workflows/4-implementation/code-review/workflow.yaml","bmad-code-review"
"correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_abm/bmm/workflows/4-implementation/correct-course/workflow.yaml","bmad-correct-course"
"create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_abm/bmm/workflows/4-implementation/create-story/workflow.yaml","bmad-create-story"
"dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_abm/bmm/workflows/4-implementation/dev-story/workflow.yaml","bmad-dev-story"
"retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_abm/bmm/workflows/4-implementation/retrospective/workflow.md","bmad-retrospective"
"sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_abm/bmm/workflows/4-implementation/sprint-planning/workflow.yaml","bmad-sprint-planning"
"sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_abm/bmm/workflows/4-implementation/sprint-status/workflow.md","bmad-sprint-status"
"quick-dev","Implement a Quick Tech Spec for small changes or features. Use when the user provides a quick tech spec and says ""implement this quick spec"" or ""proceed with implementation of [quick tech spec]""","bmm","_abm/bmm/workflows/abm-quick-flow/quick-dev/workflow.md","bmad-quick-dev"
"quick-dev-new-preview","Unified quick flow - clarify intent, plan, implement, review, present.","bmm","_abm/bmm/workflows/abm-quick-flow/quick-dev-new-preview/workflow.md","bmad-quick-dev-new-preview"
"quick-spec","Very quick process to create implementation-ready quick specs for small changes or features. Use when the user says ""create a quick spec"" or ""generate a quick tech spec""","bmm","_abm/bmm/workflows/abm-quick-flow/quick-spec/workflow.md","bmad-quick-spec"
"document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_abm/bmm/workflows/document-project/workflow.yaml","bmad-document-project"
"generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_abm/bmm/workflows/generate-project-context/workflow.md","bmad-generate-project-context"
"qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_abm/bmm/workflows/qa-generate-e2e-tests/workflow.md","bmad-qa-generate-e2e-tests"
"intake-triage","Classify task, assess risk, and select optimal execution pattern. Use when Jarvis receives a new task.","bmm","_abm/bmm/workflows/0-orchestration/intake-triage/workflow.md","bmad-intake-triage"
"delegation-chain","Create contracts, assign workers, and manage the delegation chain. Use when delegating tasks to workers.","bmm","_abm/bmm/workflows/0-orchestration/delegation-chain/workflow.md","bmad-delegation-chain"
"verification-chain","3-layer verification: syntactic, behavioral, policy. Use when verifying worker attestations.","bmm","_abm/bmm/workflows/0-orchestration/verification-chain/workflow.md","ABM-verification-chain"
"synthesis","Aggregate worker results into final deliverable with walkthrough. Use when all workers complete.","bmm","_abm/bmm/workflows/0-orchestration/synthesis/workflow.md","bmad-synthesis"
"bug-fix-pipeline","End-to-end bug fix: Code → Test → Browser QA → Synthesis. Use for bug fixes.","bmm","_abm/bmm/workflows/0-orchestration/bug-fix-pipeline/workflow.md","bmad-bug-fix-pipeline"
"feature-pipeline","Full feature implementation: Plan → Code(parallel) → Test → Browser QA → Docs. Use for new features.","bmm","_abm/bmm/workflows/0-orchestration/feature-pipeline/workflow.md","bmad-feature-pipeline"
"refactor-pipeline","Safe refactoring: Impact → Code → Static Analysis → Risk Eval. Use for large refactors.","bmm","_abm/bmm/workflows/0-orchestration/refactor-pipeline/workflow.md","bmad-refactor-pipeline"
"data-pipeline","Data-aware development: MCP/Data → Code → Integration Verify. Use for data-driven tasks.","bmm","_abm/bmm/workflows/0-orchestration/data-pipeline/workflow.md","bmad-data-pipeline"
"rollback","Safe reversion of failed changes with verification. Use when changes need to be reverted.","bmm","_abm/bmm/workflows/0-orchestration/rollback/workflow.md","bmad-rollback"
